ID;product_ID;batch_ID;variant_ID;item_ID;dpp_type;status;visibility;current_version;qr_token;qr_payload_url;public_url;approved_at;published_at;valid_from
dpp-12345;prod-tshirt-classic;batch-2026-05-A;;;product;published;public;1;e1fdd917-e3e5-4b53-acfa-bbd55d9666e4.RZsqxfAj5IG6WTxWBPqOj9P1SgoCnvtJGElVhTzJolA;/public/dpp/e1fdd917-e3e5-4b53-acfa-bbd55d9666e4.RZsqxfAj5IG6WTxWBPqOj9P1SgoCnvtJGElVhTzJolA;/public/dpp/e1fdd917-e3e5-4b53-acfa-bbd55d9666e4.RZsqxfAj5IG6WTxWBPqOj9P1SgoCnvtJGElVhTzJolA;2026-05-17T10:00:00Z;2026-05-17T12:00:00Z;2026-05-17
dpp-cotton;prod-mat-cotton;batch-cotton-2026-04;;;product;published;public;1;8efcfc26-13e8-476c-a8ec-8ccfa3b91062.F7ytap8y6TK-5kTavGv1yNsRq0rprsGDhHfqqMZvni8;/public/dpp/8efcfc26-13e8-476c-a8ec-8ccfa3b91062.F7ytap8y6TK-5kTavGv1yNsRq0rprsGDhHfqqMZvni8;/public/dpp/8efcfc26-13e8-476c-a8ec-8ccfa3b91062.F7ytap8y6TK-5kTavGv1yNsRq0rprsGDhHfqqMZvni8;2026-04-15T10:00:00Z;2026-04-15T12:00:00Z;2026-04-15
dpp-item-tshirt-0001;prod-tshirt-classic;batch-2026-05-A;var-tshirt-blue-m;pi-tshirt-0001;item;published;public;1;45e2cd8b-46fd-4723-9b9b-d603e15673cf.RzPQUBrx0cWPg5hjVhWp8xVwublS4GQIGpyRYfPrn_M;/public/dpp/45e2cd8b-46fd-4723-9b9b-d603e15673cf.RzPQUBrx0cWPg5hjVhWp8xVwublS4GQIGpyRYfPrn_M;/public/dpp/45e2cd8b-46fd-4723-9b9b-d603e15673cf.RzPQUBrx0cWPg5hjVhWp8xVwublS4GQIGpyRYfPrn_M;2026-05-17T10:00:00Z;2026-05-17T12:00:00Z;2026-05-17
dpp-item-tshirt-0002;prod-tshirt-classic;batch-2026-05-A;var-tshirt-blue-m;pi-tshirt-0002;item;draft;internal;1;437b3036-91b0-4bee-b6ae-a3ca3a4390fb.DRmRhPvuIBAnwgDWghOL0e8UDulVgOdU_RiRXozIa1k;/public/dpp/437b3036-91b0-4bee-b6ae-a3ca3a4390fb.DRmRhPvuIBAnwgDWghOL0e8UDulVgOdU_RiRXozIa1k;;;;
dpp-jacket;prod-jacket-denim;batch-jacket-2026-04-A;;;product;published;public;1;d054bcef-1b87-485f-929c-659e76654710.jiayKDa-HXcHe8J7dLnp4XtTpG9H2vqZrZinmx0cvNI;/public/dpp/d054bcef-1b87-485f-929c-659e76654710.jiayKDa-HXcHe8J7dLnp4XtTpG9H2vqZrZinmx0cvNI;/public/dpp/d054bcef-1b87-485f-929c-659e76654710.jiayKDa-HXcHe8J7dLnp4XtTpG9H2vqZrZinmx0cvNI;2026-04-23T10:00:00Z;2026-04-23T12:00:00Z;2026-04-23
dpp-denim;prod-mat-denim;batch-denim-2026-03-A;var-denim-default;;product;published;public;1;33ef9b76-47c4-49ff-a1f4-8ad41509ff1f.lRlH9s32SHpyw6DUmzuwCsdyBYWtkDMBCaHwXeL2HyU;/public/dpp/33ef9b76-47c4-49ff-a1f4-8ad41509ff1f.lRlH9s32SHpyw6DUmzuwCsdyBYWtkDMBCaHwXeL2HyU;/public/dpp/33ef9b76-47c4-49ff-a1f4-8ad41509ff1f.lRlH9s32SHpyw6DUmzuwCsdyBYWtkDMBCaHwXeL2HyU;2026-03-06T10:00:00Z;2026-03-06T12:00:00Z;2026-03-06
dpp-lining;prod-mat-lining;batch-lining-2026-03;var-lining-default;;product;published;public;1;84ce31f9-e6c5-48f0-886d-26aab8ec222b.qdfHfdNw3j24usgiFayVC4HTdnuJIalG_kJQwEN7hpk;/public/dpp/84ce31f9-e6c5-48f0-886d-26aab8ec222b.qdfHfdNw3j24usgiFayVC4HTdnuJIalG_kJQwEN7hpk;/public/dpp/84ce31f9-e6c5-48f0-886d-26aab8ec222b.qdfHfdNw3j24usgiFayVC4HTdnuJIalG_kJQwEN7hpk;2026-03-13T10:00:00Z;2026-03-13T12:00:00Z;2026-03-13
dpp-item-denim-A-0001;prod-mat-denim;batch-denim-2026-03-A;var-denim-default;pi-denim-A-0001;item;published;public;1;bb592f08-d1f5-4524-b3ff-399a2a56a2af.gnDtkqvihgc0iQjGJO-hWDWf4lfdLDQ1J6sel36WWvY;/public/dpp/bb592f08-d1f5-4524-b3ff-399a2a56a2af.gnDtkqvihgc0iQjGJO-hWDWf4lfdLDQ1J6sel36WWvY;/public/dpp/bb592f08-d1f5-4524-b3ff-399a2a56a2af.gnDtkqvihgc0iQjGJO-hWDWf4lfdLDQ1J6sel36WWvY;2026-03-06T10:00:00Z;2026-03-06T12:00:00Z;2026-03-06
dpp-item-denim-B-0001;prod-mat-denim;batch-denim-2026-03-B;var-denim-default;pi-denim-B-0001;item;published;public;1;32877bb7-54a4-487c-9e08-8e48f857c00f.IctgZEqiOOSLW0gAjBWqbr2gKvvDAPskIrkVpoMZLZ0;/public/dpp/32877bb7-54a4-487c-9e08-8e48f857c00f.IctgZEqiOOSLW0gAjBWqbr2gKvvDAPskIrkVpoMZLZ0;/public/dpp/32877bb7-54a4-487c-9e08-8e48f857c00f.IctgZEqiOOSLW0gAjBWqbr2gKvvDAPskIrkVpoMZLZ0;2026-03-21T10:00:00Z;2026-03-21T12:00:00Z;2026-03-21
dpp-item-lining-0001;prod-mat-lining;batch-lining-2026-03;var-lining-default;pi-lining-0001;item;published;public;1;4888ab21-4a73-4d6c-b2a0-dfce952fe121.jpPOUxpgfyChGoui8co50W40L6DveO-nMeVjEzFc8E0;/public/dpp/4888ab21-4a73-4d6c-b2a0-dfce952fe121.jpPOUxpgfyChGoui8co50W40L6DveO-nMeVjEzFc8E0;/public/dpp/4888ab21-4a73-4d6c-b2a0-dfce952fe121.jpPOUxpgfyChGoui8co50W40L6DveO-nMeVjEzFc8E0;2026-03-13T10:00:00Z;2026-03-13T12:00:00Z;2026-03-13
dpp-item-jacket-0001;prod-jacket-denim;batch-jacket-2026-04-A;var-jacket-indigo-m;pi-jacket-0001;item;published;public;1;662834ae-c7e7-4f10-b39d-92c85b15c718.ZDHxu16hUooVwYya7hJpQ8ZEfvMGc0dPUjY0lhMGlh0;/public/dpp/662834ae-c7e7-4f10-b39d-92c85b15c718.ZDHxu16hUooVwYya7hJpQ8ZEfvMGc0dPUjY0lhMGlh0;/public/dpp/662834ae-c7e7-4f10-b39d-92c85b15c718.ZDHxu16hUooVwYya7hJpQ8ZEfvMGc0dPUjY0lhMGlh0;2026-04-23T10:00:00Z;2026-04-23T12:00:00Z;2026-04-23
dpp-item-jacket-0002;prod-jacket-denim;batch-jacket-2026-04-A;var-jacket-indigo-m;pi-jacket-0002;item;draft;internal;1;bb896fcd-d668-4060-9f6c-84a12c11a84b.BLqPJbTNT2um6U_yA_L_nBxWd_jQ6nQtsAbPZwUzgEU;/public/dpp/bb896fcd-d668-4060-9f6c-84a12c11a84b.BLqPJbTNT2um6U_yA_L_nBxWd_jQ6nQtsAbPZwUzgEU;;;;
dpp-button;prod-comp-button;batch-button-2026-03;var-button-default;;product;published;public;1;5795a10c-61ba-4169-9024-719ec789f14d.zVC4tvVrDCQjiNbiIzq4J6Ksc222DDPnBdIuFmtUYSw;/public/dpp/5795a10c-61ba-4169-9024-719ec789f14d.zVC4tvVrDCQjiNbiIzq4J6Ksc222DDPnBdIuFmtUYSw;/public/dpp/5795a10c-61ba-4169-9024-719ec789f14d.zVC4tvVrDCQjiNbiIzq4J6Ksc222DDPnBdIuFmtUYSw;2026-03-09T10:00:00Z;2026-03-09T12:00:00Z;2026-03-09
dpp-item-button-0001;prod-comp-button;batch-button-2026-03;var-button-default;pi-button-0001;item;published;public;1;28551bea-4d6e-4536-9130-b4bc735f350e.fYhB5Vp6jvZvMcmlTdq8PPWK0sjxTj6F-79NfKaF2u0;/public/dpp/28551bea-4d6e-4536-9130-b4bc735f350e.fYhB5Vp6jvZvMcmlTdq8PPWK0sjxTj6F-79NfKaF2u0;/public/dpp/28551bea-4d6e-4536-9130-b4bc735f350e.fYhB5Vp6jvZvMcmlTdq8PPWK0sjxTj6F-79NfKaF2u0;2026-03-09T10:00:00Z;2026-03-09T12:00:00Z;2026-03-09
dpp-box;prod-pkg-box;batch-box-2026-03;var-box-default;;product;published;public;1;9d65b909-3e10-4353-8e4d-ed5407812ff0.1cAciAA_y2PyFLIfKUnYERJiupanhdvcVKG74_ZzvCA;/public/dpp/9d65b909-3e10-4353-8e4d-ed5407812ff0.1cAciAA_y2PyFLIfKUnYERJiupanhdvcVKG74_ZzvCA;/public/dpp/9d65b909-3e10-4353-8e4d-ed5407812ff0.1cAciAA_y2PyFLIfKUnYERJiupanhdvcVKG74_ZzvCA;2026-03-11T10:00:00Z;2026-03-11T12:00:00Z;2026-03-11
dpp-item-box-0001;prod-pkg-box;batch-box-2026-03;var-box-default;pi-box-0001;item;published;public;1;98090561-2f65-4f43-9590-72afebf8948a.nvS9J1rn4OLc9vCb8xGQSdwLDUbM1s-3XXoIaXoRFwM;/public/dpp/98090561-2f65-4f43-9590-72afebf8948a.nvS9J1rn4OLc9vCb8xGQSdwLDUbM1s-3XXoIaXoRFwM;/public/dpp/98090561-2f65-4f43-9590-72afebf8948a.nvS9J1rn4OLc9vCb8xGQSdwLDUbM1s-3XXoIaXoRFwM;2026-03-11T10:00:00Z;2026-03-11T12:00:00Z;2026-03-11
dpp-hoodie;prod-hoodie-eco;batch-hoodie-2026-06-A;;;product;published;public;1;9af61a1d-5038-47ba-b2b8-045d187d50de.xNZ1dsTY9E1jc33U1cxylRpSrxhxKgWQO1Rcb5MU80U;/public/dpp/9af61a1d-5038-47ba-b2b8-045d187d50de.xNZ1dsTY9E1jc33U1cxylRpSrxhxKgWQO1Rcb5MU80U;/public/dpp/9af61a1d-5038-47ba-b2b8-045d187d50de.xNZ1dsTY9E1jc33U1cxylRpSrxhxKgWQO1Rcb5MU80U;2026-06-03T10:00:00Z;2026-06-03T12:00:00Z;2026-06-03
dpp-fabric-fleece;prod-fabric-fleece;batch-fleece-2026-05;var-fleece-default;;product;published;public;1;9e50c89f-cc48-42c9-b7d4-472b751bd48e.Zqa48Re9l_6Yy7dTaeBv26KB6ktpgSVgBJOihMyPw_0;/public/dpp/9e50c89f-cc48-42c9-b7d4-472b751bd48e.Zqa48Re9l_6Yy7dTaeBv26KB6ktpgSVgBJOihMyPw_0;/public/dpp/9e50c89f-cc48-42c9-b7d4-472b751bd48e.Zqa48Re9l_6Yy7dTaeBv26KB6ktpgSVgBJOihMyPw_0;2026-05-11T10:00:00Z;2026-05-11T12:00:00Z;2026-05-11
dpp-yarn-reccotton;prod-yarn-reccotton;batch-yarn-2026-04;var-yarn-default;;product;published;public;1;d058b79c-0396-4e74-9838-6559eee8c023.E8GU6POeiwbUy25_1aOEnSxCI4rQpnpxcf182_WP8rI;/public/dpp/d058b79c-0396-4e74-9838-6559eee8c023.E8GU6POeiwbUy25_1aOEnSxCI4rQpnpxcf182_WP8rI;/public/dpp/d058b79c-0396-4e74-9838-6559eee8c023.E8GU6POeiwbUy25_1aOEnSxCI4rQpnpxcf182_WP8rI;2026-04-09T10:00:00Z;2026-04-09T12:00:00Z;2026-04-09
dpp-fibre-reccotton;prod-fibre-reccotton;batch-fibre-2026-03;var-fibre-default;;product;published;public;1;6ab0e9e1-f005-4707-9fa2-525bb59af760.gOR5tJTK464h544_PYD8vZXc0mYv32WV2eVNKW2HYUc;/public/dpp/6ab0e9e1-f005-4707-9fa2-525bb59af760.gOR5tJTK464h544_PYD8vZXc0mYv32WV2eVNKW2HYUc;/public/dpp/6ab0e9e1-f005-4707-9fa2-525bb59af760.gOR5tJTK464h544_PYD8vZXc0mYv32WV2eVNKW2HYUc;2026-03-06T10:00:00Z;2026-03-06T12:00:00Z;2026-03-06
